iter	Passed	Remaining
0	24	24607
1	48	24140
2	75	25189
3	102	25531
4	129	25714
5	157	26067
6	188	26674
7	218	27033
8	248	27394
9	279	27672
10	311	28042
11	341	28127
12	374	28410
13	408	28761
14	439	28865
15	468	28815
16	505	29201
17	537	29314
18	571	29522
19	606	29728
20	637	29735
21	675	30037
22	710	30172
23	747	30385
24	775	30256
25	807	30251
26	838	30218
27	873	30338
28	904	30292
29	938	30335
30	972	30398
31	1003	30369
32	1036	30367
33	1070	30426
34	1104	30449
35	1134	30384
36	1168	30422
37	1199	30354
38	1233	30399
39	1270	30499
40	1304	30507
41	1336	30495
42	1374	30595
43	1409	30633
44	1442	30606
45	1473	30566
46	1511	30652
47	1547	30683
48	1577	30618
49	1609	30583
50	1642	30570
51	1674	30526
52	1705	30477
53	1742	30522
54	1776	30522
55	1817	30631
56	1855	30694
57	1894	30763
58	1929	30768
59	1967	30817
60	2001	30804
61	2035	30795
62	2072	30826
63	2109	30852
64	2146	30881
65	2181	30875
66	2217	30883
67	2255	30908
68	2287	30861
69	2320	30823
70	2359	30874
71	2392	30832
72	2424	30789
73	2458	30767
74	2493	30754
75	2531	30774
76	2569	30801
77	2600	30735
78	2634	30714
79	2669	30693
80	2696	30595
81	2732	30586
82	2766	30563
83	2797	30501
84	2829	30459
85	2862	30420
86	2893	30364
87	2925	30318
88	2956	30265
89	2993	30270
90	3026	30232
91	3057	30178
92	3088	30122
93	3119	30068
94	3151	30021
95	3184	29984
96	3215	29930
97	3245	29873
98	3279	29846
99	3312	29809
100	3343	29762
101	3376	29723
102	3409	29692
103	3440	29637
104	3471	29588
105	3505	29562
106	3539	29538
107	3572	29507
108	3606	29480
109	3637	29433
110	3670	29394
111	3702	29359
112	3736	29329
113	3775	29345
114	3814	29351
115	3846	29315
116	3883	29306
117	3919	29297
118	3949	29237
119	3984	29216
120	4022	29222
121	4051	29158
122	4086	29135
123	4128	29163
124	4158	29112
125	4196	29107
126	4227	29059
127	4259	29014
128	4292	28982
129	4323	28936
130	4357	28907
131	4394	28898
132	4431	28888
133	4464	28852
134	4493	28792
135	4528	28768
136	4560	28725
137	4594	28698
138	4627	28662
139	4661	28637
140	4688	28564
141	4722	28536
142	4753	28487
143	4778	28407
144	4813	28384
145	4847	28354
146	4878	28308
147	4910	28269
148	4943	28236
149	4969	28160
150	5004	28138
151	5031	28068
152	5056	27991
153	5086	27943
154	5120	27913
155	5145	27837
156	5171	27768
157	5196	27694
158	5229	27660
159	5268	27657
160	5302	27634
161	5336	27606
162	5372	27588
163	5405	27557
164	5439	27527
165	5472	27492
166	5505	27460
167	5536	27418
168	5561	27347
169	5596	27325
170	5628	27286
171	5655	27223
172	5688	27193
173	5724	27173
174	5751	27115
175	5789	27107
176	5825	27089
177	5859	27060
178	5897	27048
179	5926	26997
180	5961	26975
181	5993	26938
182	6028	26914
183	6067	26908
184	6102	26885
185	6128	26819
186	6161	26786
187	6198	26773
188	6232	26744
189	6269	26728
190	6303	26701
191	6330	26641
192	6366	26622
193	6402	26600
194	6427	26535
195	6461	26503
196	6491	26460
197	6525	26433
198	6552	26375
199	6582	26330
200	6615	26296
201	6642	26242
202	6671	26193
203	6703	26158
204	6734	26116
205	6763	26070
206	6793	26024
207	6824	25984
208	6853	25937
209	6882	25889
210	6909	25837
211	6936	25784
212	6965	25735
213	6993	25685
214	7022	25639
215	7050	25590
216	7081	25550
217	7110	25508
218	7139	25461
219	7168	25416
220	7197	25370
221	7226	25325
222	7256	25282
223	7285	25237
224	7313	25191
225	7345	25155
226	7374	25110
227	7401	25060
228	7429	25014
229	7458	24969
230	7486	24922
231	7515	24878
232	7545	24837
233	7568	24774
234	7597	24733
235	7625	24686
236	7654	24643
237	7682	24597
238	7709	24546
239	7747	24533
240	7769	24467
241	7800	24433
242	7832	24400
243	7862	24361
244	7894	24328
245	7917	24266
246	7949	24235
247	7980	24199
248	8009	24157
249	8044	24132
250	8073	24092
251	8103	24052
252	8127	23995
253	8157	23959
254	8180	23899
255	8213	23871
256	8240	23823
257	8268	23779
258	8301	23750
259	8330	23709
260	8360	23672
261	8393	23643
262	8423	23605
263	8456	23576
264	8484	23533
265	8517	23502
266	8543	23454
267	8574	23420
268	8600	23371
269	8630	23333
270	8664	23308
271	8686	23249
272	8712	23202
273	8735	23147
274	8765	23107
275	8795	23072
276	8823	23029
277	8852	22990
278	8882	22955
279	8904	22897
280	8927	22843
281	8956	22803
282	8982	22757
283	9006	22707
284	9033	22663
285	9065	22631
286	9094	22594
287	9121	22551
288	9144	22496
289	9172	22457
290	9199	22414
291	9228	22375
292	9258	22340
293	9280	22286
294	9304	22235
295	9327	22183
296	9354	22142
297	9376	22088
298	9400	22040
299	9432	22008
300	9460	21970
301	9488	21930
302	9510	21877
303	9534	21829
304	9559	21783
305	9587	21744
306	9614	21702
307	9640	21659
308	9671	21628
309	9697	21585
310	9730	21557
311	9764	21532
312	9798	21507
313	9831	21479
314	9858	21438
315	9891	21411
316	9922	21379
317	9956	21352
318	9990	21327
319	10020	21294
320	10052	21263
321	10078	21222
322	10109	21190
323	10135	21146
324	10159	21099
325	10186	21060
326	10218	21031
327	10245	20990
328	10271	20949
329	10308	20929
330	10332	20883
331	10358	20840
332	10391	20813
333	10425	20789
334	10456	20756
335	10486	20723
336	10520	20697
337	10553	20669
338	10583	20636
339	10617	20610
340	10643	20568
341	10671	20531
342	10702	20499
343	10733	20469
344	10764	20436
345	10791	20397
346	10819	20361
347	10845	20320
348	10875	20285
349	10905	20253
350	10937	20223
351	10964	20184
352	10995	20153
353	11030	20128
354	11052	20081
355	11079	20042
356	11105	20003
357	11132	19963
358	11159	19925
359	11189	19891
360	11218	19857
361	11246	19820
362	11275	19787
363	11305	19754
364	11334	19718
365	11356	19672
366	11385	19637
367	11414	19603
368	11445	19571
369	11473	19535
370	11503	19502
371	11532	19469
372	11558	19428
373	11581	19385
374	11610	19350
375	11638	19314
376	11663	19274
377	11692	19239
378	11725	19212
379	11756	19181
380	11790	19155
381	11816	19117
382	11844	19081
383	11872	19044
384	11902	19013
385	11936	18987
386	11966	18955
387	12000	18927
388	12032	18900
389	12070	18879
390	12103	18851
391	12134	18821
392	12166	18792
393	12194	18755
394	12221	18718
395	12255	18693
396	12287	18664
397	12314	18627
398	12347	18598
399	12381	18572
400	12413	18543
401	12447	18516
402	12481	18489
403	12512	18458
404	12544	18430
405	12581	18406
406	12611	18375
407	12645	18348
408	12681	18324
409	12703	18281
410	12731	18245
411	12757	18207
412	12786	18173
413	12812	18135
414	12841	18101
415	12867	18064
416	12895	18028
417	12926	17998
418	12954	17963
419	12984	17930
420	13011	17894
421	13041	17862
422	13073	17832
423	13102	17799
424	13130	17764
425	13159	17731
426	13189	17699
427	13219	17666
428	13241	17624
429	13264	17582
430	13287	17541
431	13310	17500
432	13338	17466
433	13367	17433
434	13395	17399
435	13420	17360
436	13449	17327
437	13477	17292
438	13509	17263
439	13532	17222
